player_id,n_events,centroid_x,centroid_y,lateral_spread,sub_role
8125,2537,47.72920772566023,48.95033504138747,24.849481760707118,CM
8285,1814,50.42833517089306,62.87816979051819,21.759606174089285,CM
8370,1503,50.532934131736525,37.174318030605455,28.33150167454022,CM
8980,1358,58.25552282768778,45.13107511045656,25.347498944648567,CM
8623,1927,51.336274001037886,54.19408406850026,28.083684954475142,CM
8319,2137,56.19513336452972,47.365465605989705,30.86474944217347,CM
235555,1555,57.58006430868167,42.84823151125402,30.62159741438902,CM
18550,2310,48.813419913419914,51.48831168831169,23.755222665858987,CM
207164,750,48.112,42.444,21.4602171134888,CM
8143,1736,44.785714285714285,48.53225806451613,24.15893810227629,CDM
241564,838,54.13245823389021,16.95346062052506,13.465970428265132,WIDE_MID
8317,3256,61.697788697788695,42.230651105651106,27.014121476476394,CAM
14808,1840,55.615760869565214,42.8875,22.87723712603721,CM
61967,940,48.87978723404255,54.242553191489364,21.466736233235007,CM
54,3408,62.458626760563384,52.401115023474176,27.63541346565917,CAM
13484,2506,63.46209098164405,41.4852354349561,26.151302076261306,CAM
25804,1298,55.815100154083204,65.53929121725731,25.922553775706042,WIDE_MID
105338,1739,61.06210465784934,54.20701552616446,29.171445462743794,CAM
7873,1221,55.13595413595414,50.81490581490581,19.746636333487878,CM
105333,1739,65.66474985623921,60.54284071305348,27.157423252684996,CAM
466,2218,45.804328223624886,36.872407574391346,20.366520806301683,CM
25950,1837,57.466521502449645,75.33913990201415,22.45246389574373,WIDE_MID
135114,1749,48.92338479130932,47.62149799885649,27.562467346403057,CM
29640,1629,48.081645181092696,47.02148557397176,23.752256429794247,CM
265366,2809,44.822000711997156,56.51833392666429,24.114660412202788,CDM
7906,1733,63.06116560877092,61.163300634737446,28.792648715364873,CAM
397174,519,50.52023121387283,64.92100192678227,21.02571330166055,CM
8625,1748,55.19565217391305,87.04805491990847,11.958618866319146,WIDE_MID
8086,2542,42.52714398111723,56.876475216365066,20.436530914895354,CDM
215983,1206,61.94776119402985,32.675787728026535,27.615472135130872,WIDE_MID
77552,1034,60.47195357833656,67.073500967118,30.33399771148227,WIDE_MID
7870,1860,57.69247311827957,51.13333333333333,24.063446409668575,CM
179,452,64.04203539823008,82.91592920353982,15.851780577326169,WIDE_MID
8314,1413,47.87190375088464,47.93064401981599,24.391652125747278,CM
7932,1554,46.62741312741313,53.2992277992278,24.118587935734407,CM
70092,1517,47.591298615688856,55.194462755438366,25.600256037008425,CM
9283,805,48.20621118012422,47.678260869565214,25.1948543067593,CM
9623,987,60.135764944275586,36.02532928064843,32.61503851120222,CAM
20620,1247,46.0793905372895,49.70489174017642,24.106728314901275,CM
7585,1958,46.26813074565884,45.52247191011236,25.662051450296957,CM
56025,1025,52.89756097560976,54.36682926829268,27.662377008367297,CM
247222,867,49.63783160322953,52.33448673587082,25.328488530341417,CM
3704,882,53.32766439909297,54.85374149659864,23.00377831703567,CM
3843,1044,67.14176245210729,56.872605363984675,32.745979772912975,CAM
4015,2042,59.59500489715965,56.646425073457394,33.104016424463964,CM
8200,2312,47.102076124567475,47.016003460207614,23.71532092349862,CM
20823,1708,60.78747072599531,48.81733021077283,28.4977620373929,CAM
4969,1293,56.675174013921115,57.472544470224285,28.791046554606424,CM
4278,2260,58.947345132743365,28.02787610619469,21.62433543598383,WIDE_MID
364005,860,52.20813953488372,40.980232558139534,27.439438319069023,CM
3470,2480,51.70927419354839,46.480645161290326,28.944265418076693,CM
167641,2895,45.05284974093264,53.50673575129534,21.76768096450589,CM
26518,1225,42.87020408163265,50.89959183673469,21.689442211085975,CDM
25888,1668,53.77937649880096,46.83393285371702,30.264550402047607,CM
286448,1252,46.096645367412144,49.07667731629393,24.032296398096786,CM
230895,1813,48.20628792057364,57.80750137892995,23.054305526319997,CM
3678,1512,61.73148148148148,69.37103174603175,22.798383306645697,WIDE_MID
3282,2040,61.957352941176474,59.976470588235294,29.27511409610538,CAM
395114,1388,43.971902017291065,49.87896253602305,21.944540204279846,CDM
5195,1000,57.605,49.13,35.66666806993907,CM
4375,1224,56.951797385620914,40.74346405228758,29.857188669040113,CM
4488,3008,49.6343085106383,41.41389627659574,25.279493202328194,CM
134174,2068,57.883462282398455,72.09961315280464,24.808599486101404,WIDE_MID
91064,819,42.50671550671551,54.124542124542124,21.72132054321167,CDM
4513,735,56.349659863945575,24.978231292517005,21.098628250045646,WIDE_MID
344075,1193,58.7116512992456,24.451802179379715,23.402831359159585,WIDE_MID
3538,893,45.94736842105263,33.85778275475924,25.668657459941315,WIDE_MID
485383,414,59.36231884057971,49.05314009661836,34.0200350782607,CM
211885,597,54.8643216080402,39.57286432160804,28.247292452124608,CM
4362,572,56.73601398601399,34.84965034965035,31.07538627437636,WIDE_MID
408293,356,60.83988764044944,62.53370786516854,31.975456939576294,CAM
40800,505,53.56039603960396,51.72079207920792,25.785425303871268,CM
279538,605,44.17851239669422,59.651239669421486,23.64876162594583,CDM
3409,1643,47.559951308581866,54.30066950699939,22.35642334082351,CM
20815,2014,49.03723932472691,61.475670307845085,24.20803514632784,CM
20935,2612,52.53483920367535,73.02794793261869,27.259150093268175,WIDE_MID
220359,2232,51.38485663082437,86.62679211469533,13.971381998219792,WIDE_MID
23427,1026,44.031189083820664,50.78265107212476,27.064665672964626,CDM
415809,821,44.45554202192448,77.94640682095006,22.247270095619953,WIDE_MID
21564,2576,42.90333850931677,52.26746894409938,22.811551441835363,CDM
20556,2359,64.77532852903772,73.85120813904197,26.95740659203478,WIDE_MID
51145,973,57.30832476875642,50.5087358684481,31.873741010319424,CM
116269,2302,52.89748045178106,13.328410078192876,12.929180986534558,WIDE_MID
37739,2364,56.27834179357022,52.620558375634516,30.550726088276935,CM
20689,2091,62.507890961262554,54.7221425155428,26.852294590694136,CAM
625,2443,49.168645108473186,63.37740483012689,21.63635534330158,CM
21620,1714,55.68728121353559,50.079929988331386,32.58850313885337,CM
26000,1684,50.2458432304038,52.83254156769596,28.210426266926024,CM
21025,726,60.52066115702479,50.66115702479339,23.81146187718034,CAM
22566,2420,50.421487603305785,85.38471074380165,12.821328123730169,WIDE_MID
20470,849,51.129564193168434,50.91166077738516,21.899652538767697,CM
20443,2825,50.29805309734513,51.63858407079646,22.519695458572315,CM
285109,2961,57.047281323877066,70.29449510300574,19.365555241743177,WIDE_MID
22162,2387,46.581483033095935,51.227901131126934,23.167997027078467,CM
22163,2134,51.807403936269914,56.891752577319586,27.669911480414438,CM
20403,433,46.87066974595843,50.25866050808314,26.467530336064545,CM
21314,720,50.34305555555556,44.02638888888889,23.727606340674413,CM
134429,200,50.495,49.025,26.366843328993298,CM
20523,310,64.87096774193549,53.21935483870968,31.155684021244195,CAM
292310,831,50.61853188929001,66.63297232250301,23.868289609134088,WIDE_MID
228928,1851,56.03457590491626,87.69529983792545,11.947772586906186,WIDE_MID
265865,3173,56.36022691459187,37.740308855972266,24.607665575483132,CM
20911,1734,52.11418685121107,66.31603229527104,21.630944450487494,WIDE_MID
9080,1351,64.12509252405626,39.092524056254625,26.99324242586389,CAM
284315,438,56.333333333333336,59.14840182648402,28.559518881127204,CM
21288,1588,48.98992443324937,47.02518891687657,24.81080258002512,CM
209091,1681,54.89649018441404,58.56870910172516,23.10329179414585,CM
14726,1277,63.639780736100235,21.573218480814408,16.79995717807005,WIDE_MID
18982,1636,53.70048899755501,15.125916870415647,13.989993390312064,WIDE_MID
15937,2835,48.685008818342155,48.336507936507935,27.62703366654882,CM
82518,1515,51.807260726072606,53.54653465346534,26.621018866924757,CM
65027,1322,42.99546142208774,62.17700453857791,23.068941551320428,CDM
15487,2115,54.79290780141844,51.162174940898346,26.568767755666187,CM
15782,589,48.49066213921901,53.55687606112054,23.777288106093835,CM
105378,1051,66.8116079923882,24.585156993339677,21.586837445626465,WIDE_MID
4509,691,45.37481910274964,49.09117221418234,23.344342831767843,CM
20402,2114,54.0279091769158,48.21523178807947,23.710302659770086,CM
14781,1438,49.08692628650904,76.0528511821975,22.20656462386703,WIDE_MID
14786,1020,62.00686274509804,69.23823529411764,28.062755777870603,WIDE_MID
127796,1726,64.59791425260718,34.78505214368482,30.64140661948254,WIDE_MID
20876,977,46.228249744114635,54.538382804503584,24.550316570127453,CM
8315,496,41.46774193548387,48.69758064516129,21.301900948832888,CDM
55990,2338,50.23267750213858,42.85543199315654,25.554167225027957,CM
83836,865,59.234682080924856,46.54219653179191,29.068738574270704,CM
127685,1220,56.942622950819676,50.057377049180324,31.235956432396318,CM
217052,446,53.44843049327354,53.69506726457399,34.92259592227531,CM
208716,783,51.18390804597701,52.14176245210728,36.32802502208012,CM
1729,410,49.55609756097561,51.59024390243903,25.2212295107371,CM
221333,1242,53.13929146537842,49.87761674718197,26.980779229310023,CM
134397,1088,62.4172794117647,46.59742647058823,30.096619522968354,CAM
302600,1230,53.329268292682926,56.32113821138211,23.911148085605785,CM
391387,246,54.853658536585364,49.7479674796748,29.854365830097706,CM
269490,558,60.91756272401434,36.04838709677419,27.900943451947537,CAM
15276,1995,54.04761904761905,82.28270676691729,20.517680236776897,WIDE_MID
134369,1460,45.74041095890411,47.33904109589041,23.751327291038727,CM
3566,816,39.799019607843135,48.229166666666664,21.73426081206891,CDM
41056,2231,55.69789332138055,49.17346481398476,25.820437807532237,CM
244357,1644,43.48357664233577,53.973844282238446,23.80085611609124,CDM
28948,501,48.54690618762475,62.23552894211577,21.202839790218203,CM
25649,1579,42.119696010133,37.34008866371121,20.92957550430999,CDM
30437,1178,59.230899830220714,47.26825127334465,30.072402472736737,CM
26508,3248,50.7201354679803,58.90055418719212,26.63236161606177,CM
26285,1456,56.699862637362635,81.3385989010989,18.04488620179059,WIDE_MID
93044,1228,56.508957654723126,31.043159609120522,29.684413332567477,WIDE_MID
275243,1405,58.9864768683274,57.34590747330961,27.880517978343235,CM
25939,1103,49.20670897552131,52.01903898458749,22.994606015121782,CM
25407,1145,58.63668122270742,50.74934497816594,29.823622864716896,CM
209086,1975,59.66075949367089,50.1893670886076,28.79504468012025,CM
25835,1066,57.908067542213885,44.333020637898684,31.82830667498283,CM
366401,2809,48.896048415806334,59.39444642221431,23.959017666660465,CM
25714,2252,63.41829484902309,47.17362344582593,31.995509411375487,CAM
30427,1450,47.54965517241379,54.28344827586207,25.43887385087988,CM
26100,1916,62.91910229645094,40.592901878914404,29.282315958942668,CAM
256084,1483,61.39447066756575,65.7242076871207,27.446650508190967,WIDE_MID
294695,2575,52.01242718446602,53.266019417475725,23.73641824633878,CM
37796,492,65.77235772357723,38.91869918699187,29.07433929836438,CAM
209117,2981,48.541764508554174,42.59677960415968,22.996318125815087,CM
209209,1877,58.039957378795954,45.19605753862547,32.55664123492912,CM
448079,1175,65.68170212765958,43.35574468085106,33.638109354672466,CAM
325781,1243,55.36524537409493,43.37811745776347,26.453865361955085,CM
