player_id,progressive_passes,total_passes,progressive_pass_pct,final_third_entries,defensive_actions,defensive_actions_per90,total_onball_events,inaccurate_events,dangerous_losses,inaccurate_rate,dangerous_loss_rate
61988,216,1028,0.2101167315175097,134,105.0,6.217105263157895,1479,320,2,0.2163624070317782,0.0013522650439486
70389,322,1378,0.2336719883889695,148,193.0,6.210225241329996,2491,659,4,0.2645523885989562,0.0016057808109193
283142,73,595,0.1226890756302521,51,67.0,3.565937315198108,1255,335,0,0.2669322709163346,0.0
265366,324,1562,0.2074263764404609,168,349.0,10.716479017400204,2809,726,3,0.2584549661801353,0.001067995728017
8116,120,822,0.145985401459854,45,78.0,3.611111111111111,1554,417,2,0.2683397683397683,0.0012870012870012
350976,181,920,0.1967391304347826,81,142.0,6.816000000000001,1910,493,4,0.2581151832460733,0.0020942408376963
14853,238,901,0.2641509433962264,98,177.0,8.296875,1756,475,0,0.270501138952164,0.0
8032,230,1368,0.1681286549707602,77,200.0,6.293706293706293,2508,593,4,0.2364433811802233,0.0015948963317384
15215,424,1330,0.318796992481203,84,313.0,8.538951197332525,2318,530,0,0.2286453839516825,0.0
16122,39,335,0.1164179104477611,19,50.0,3.363228699551569,820,241,0,0.2939024390243902,0.0
8745,11,44,0.25,1,3.0,4.029850746268656,58,9,0,0.1551724137931034,0.0
8186,198,543,0.3646408839779005,49,123.0,7.714285714285714,905,211,2,0.2331491712707182,0.0022099447513812
8903,67,400,0.1675,23,52.0,2.4618621778011573,1222,477,0,0.3903436988543372,0.0
235555,155,686,0.2259475218658892,65,104.0,4.992,1555,347,1,0.2231511254019292,0.0006430868167202
25865,12,127,0.0944881889763779,4,7.0,1.3375796178343948,381,121,0,0.3175853018372703,0.0
49872,228,1059,0.2152974504249291,120,65.0,1.9174041297935105,2136,571,5,0.2673220973782771,0.0023408239700374
7932,267,1005,0.2656716417910448,117,122.0,4.939271255060729,1554,395,6,0.2541827541827541,0.0038610038610038
8516,133,417,0.3189448441247002,74,126.0,10.071047957371226,960,264,0,0.275,0.0
70092,277,1019,0.2718351324828263,136,163.0,7.291252485089464,1517,326,0,0.2148978246539222,0.0
